,pa_id,poi_common_id,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_ref,poi_phone,poi_email,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_opening_hours_summer_mo_open,poi_opening_hours_summer_tu_open,poi_opening_hours_summer_we_open,poi_opening_hours_summer_th_open,poi_opening_hours_summer_fr_open,poi_opening_hours_summer_sa_open,poi_opening_hours_summer_su_open,poi_opening_hours_summer_mo_close,poi_opening_hours_summer_tu_close,poi_opening_hours_summer_we_close,poi_opening_hours_summer_th_close,poi_opening_hours_summer_fr_close,poi_opening_hours_summer_sa_close,poi_opening_hours_summer_su_close,poi_opening_hours_lunch_break_start,poi_opening_hours_lunch_break_stop,poi_opening_hours,poi_hash,poi_created,poi_updated,poi_deleted,poi_lat,poi_lon,pc_id,poi_name,poi_type,poi_tags,poi_url_base,poi_code,osm_id,node,osm_version,osm_changeset,osm_timestamp,osm_live_tags,osm_nodes
5062,5205,20,,985,2740,Abony,Kossuth tér,4,,POINT (47.189134 20.004633),Kossuth tér 4.,,,,,False,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,,18:00:00,18:00:00,18:00:00,18:00:00,18:00:00,14:00:00,,,,,,,,,,,,,,,,,,"Fr,Mo,Th,Tu,We 08:00-18:00;Sa 08:00-14:00",,2018-06-30 09:52:07.897083+00:00,,,47.189134,20.004633,20,Rossmann,chemist,"{'shop': 'chemist', 'operator': 'Rossmann Magyarország Kft.', 'brand':'Rossmann', 'facebook':'https://www.facebook.com/Rossmann.hu', 'youtube': 'https://www.youtube.com/channel/UCmUCPmvMLL3IaXRBtx7-J7Q', 'instagram':'https://www.instagram.com/rossmann_hu/', 'payment:cash': 'yes', 'payment:debit_cards': 'yes'}",https://www.rossmann.hu,hurossmche,2960278456,True,2,0,2015-12-06T15:0505Z,"{'wheelchair': 'yes', 'shop': 'chemist', 'brand': 'Rossmann', 'name': 'Rossmann'}",
5063,5206,20,,3496,8400,Ajka,Szabadság tér,14,,POINT (47.105645 17.564917),Szabadság tér 14.,,,,,False,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,,19:00:00,19:00:00,19:00:00,19:00:00,19:00:00,14:00:00,,,,,,,,,,,,,,,,,,"Fr,Mo,Th,Tu,We 08:00-19:00;Sa 08:00-14:00",,2018-06-30 09:52:07.897083+00:00,,,47.105645,17.564917,20,Rossmann,chemist,"{'shop': 'chemist', 'operator': 'Rossmann Magyarország Kft.', 'brand':'Rossmann', 'facebook':'https://www.facebook.com/Rossmann.hu', 'youtube': 'https://www.youtube.com/channel/UCmUCPmvMLL3IaXRBtx7-J7Q', 'instagram':'https://www.instagram.com/rossmann_hu/', 'payment:cash': 'yes', 'payment:debit_cards': 'yes'}",https://www.rossmann.hu,hurossmche,,,,,,,
5064,5207,20,,710,2170,Aszód,Kossuth Lajos utca,15,,POINT (47.651097 19.477105),Kossuth Lajos u. 15.,,,,,False,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,,18:00:00,18:00:00,18:00:00,18:00:00,18:00:00,15:00:00,,,,,,,,,,,,,,,,,,"Fr,Mo,Th,Tu,We 08:00-18:00;Sa 08:00-15:00",,2018-06-30 09:52:07.897083+00:00,,,47.651097,19.477105,20,Rossmann,chemist,"{'shop': 'chemist', 'operator': 'Rossmann Magyarország Kft.', 'brand':'Rossmann', 'facebook':'https://www.facebook.com/Rossmann.hu', 'youtube': 'https://www.youtube.com/channel/UCmUCPmvMLL3IaXRBtx7-J7Q', 'instagram':'https://www.instagram.com/rossmann_hu/', 'payment:cash': 'yes', 'payment:debit_cards': 'yes'}",https://www.rossmann.hu,hurossmche,,,,,,,
5065,5208,20,,2490,6500,Baja,Csermák Mihály tér,4,,POINT (46.18318 18.955864),Csermák Mihály tér 4.,,,,,False,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,,18:00:00,18:00:00,18:00:00,18:00:00,18:00:00,14:00:00,,,,,,,,,,,,,,,,,,"Fr,Mo,Th,Tu,We 08:00-18:00;Sa 08:00-14:00",,2018-06-30 09:52:07.897083+00:00,,,46.18318,18.955864,20,Rossmann,chemist,"{'shop': 'chemist', 'operator': 'Rossmann Magyarország Kft.', 'brand':'Rossmann', 'facebook':'https://www.facebook.com/Rossmann.hu', 'youtube': 'https://www.youtube.com/channel/UCmUCPmvMLL3IaXRBtx7-J7Q', 'instagram':'https://www.instagram.com/rossmann_hu/', 'payment:cash': 'yes', 'payment:debit_cards': 'yes'}",https://www.rossmann.hu,hurossmche,,,,,,,
5066,5209,20,,938,2660,Balassagyarmat,Rákóczi út,34-36,,POINT (48.079341 19.294558),Rákóczi út 34-36. ,,,,,False,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,,18:00:00,18:00:00,18:00:00,18:00:00,18:00:00,13:00:00,,,,,,,,,,,,,,,,,,"Fr,Mo,Th,Tu,We 08:00-18:00;Sa 08:00-13:00",,2018-06-30 09:52:07.897083+00:00,,,48.079341,19.294558,20,Rossmann,chemist,"{'shop': 'chemist', 'operator': 'Rossmann Magyarország Kft.', 'brand':'Rossmann', 'facebook':'https://www.facebook.com/Rossmann.hu', 'youtube': 'https://www.youtube.com/channel/UCmUCPmvMLL3IaXRBtx7-J7Q', 'instagram':'https://www.instagram.com/rossmann_hu/', 'payment:cash': 'yes', 'payment:debit_cards': 'yes'}",https://www.rossmann.hu,hurossmche,,,,,,,
5067,5210,20,,3365,8220,Balatonalmádi,Szabolcs utca,2,,POINT (47.040627 18.018888),Szabolcs u. 2.,,,,,False,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,20:00:00,20:00:00,20:00:00,20:00:00,20:00:00,20:00:00,18:00:00,,,,,,,,,,,,,,,,,"Fr,Mo,Sa,Th,Tu,We 08:00-20:00;Su 08:00-18:00",,2018-06-30 09:52:07.897083+00:00,,,47.040627,18.018888,20,Rossmann,chemist,"{'shop': 'chemist', 'operator': 'Rossmann Magyarország Kft.', 'brand':'Rossmann', 'facebook':'https://www.facebook.com/Rossmann.hu', 'youtube': 'https://www.youtube.com/channel/UCmUCPmvMLL3IaXRBtx7-J7Q', 'instagram':'https://www.instagram.com/rossmann_hu/', 'payment:cash': 'yes', 'payment:debit_cards': 'yes'}",https://www.rossmann.hu,hurossmche,,,,,,,
5068,5211,20,,3374,8230,Balatonfüred,Jókai Mór út,17,,POINT (46.956645 17.888113),Jókai M. út 17.,,,,,False,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,09:00:00,20:00:00,20:00:00,20:00:00,20:00:00,20:00:00,18:00:00,16:00:00,,,,,,,,,,,,,,,,,"Fr,Mo,Th,Tu,We 08:00-20:00;Sa 08:00-18:00;Su 09:00-16:00",,2018-06-30 09:52:07.897083+00:00,,,46.956645,17.888113,20,Rossmann,chemist,"{'shop': 'chemist', 'operator': 'Rossmann Magyarország Kft.', 'brand':'Rossmann', 'facebook':'https://www.facebook.com/Rossmann.hu', 'youtube': 'https://www.youtube.com/channel/UCmUCPmvMLL3IaXRBtx7-J7Q', 'instagram':'https://www.instagram.com/rossmann_hu/', 'payment:cash': 'yes', 'payment:debit_cards': 'yes'}",https://www.rossmann.hu,hurossmche,2343416666,True,3,0,2015-03-15T09:2750Z,"{'wheelchair': 'limited', 'shop': 'chemist', 'brand': 'dm', 'website': 'http://www.dm-drogeriemarkt.hu/', 'name': 'dm'}",
5069,5212,20,,1770,4060,Balmazújváros,Veres Péter út,1,,POINT (47.613235 21.343217),Veres Péter út 1.,,,,,False,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,,18:00:00,18:00:00,18:00:00,18:00:00,18:00:00,14:00:00,,,,,,,,,,,,,,,,,,"Fr,Mo,Th,Tu,We 08:00-18:00;Sa 08:00-14:00",,2018-06-30 09:52:07.897083+00:00,,,47.613235,21.343217,20,Rossmann,chemist,"{'shop': 'chemist', 'operator': 'Rossmann Magyarország Kft.', 'brand':'Rossmann', 'facebook':'https://www.facebook.com/Rossmann.hu', 'youtube': 'https://www.youtube.com/channel/UCmUCPmvMLL3IaXRBtx7-J7Q', 'instagram':'https://www.instagram.com/rossmann_hu/', 'payment:cash': 'yes', 'payment:debit_cards': 'yes'}",https://www.rossmann.hu,hurossmche,,,,,,,
5070,5213,20,,1120,3070,Bátonyterenye,Városház utca,3,,POINT (47.993751 19.830879),Városház u. 3.,,,,,False,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,,18:00:00,18:00:00,18:00:00,18:00:00,18:00:00,14:00:00,,,,,,,,,,,,,,,,,,"Fr,Mo,Th,Tu,We 08:00-18:00;Sa 08:00-14:00",,2018-06-30 09:52:07.897083+00:00,,,47.993751,19.830879,20,Rossmann,chemist,"{'shop': 'chemist', 'operator': 'Rossmann Magyarország Kft.', 'brand':'Rossmann', 'facebook':'https://www.facebook.com/Rossmann.hu', 'youtube': 'https://www.youtube.com/channel/UCmUCPmvMLL3IaXRBtx7-J7Q', 'instagram':'https://www.instagram.com/rossmann_hu/', 'payment:cash': 'yes', 'payment:debit_cards': 'yes'}",https://www.rossmann.hu,hurossmche,,,,,,,
5071,5214,20,,2292,5630,Békés,Széchenyi tér,5,,POINT (46.772018 21.130063),Széchenyi tér 5.,,,,,False,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,,18:00:00,18:00:00,18:00:00,18:00:00,18:00:00,15:00:00,,,,,,,,,,,,,,,,,,"Fr,Mo,Th,Tu,We 08:00-18:00;Sa 08:00-15:00",,2018-06-30 09:52:07.897083+00:00,,,46.772018,21.130063,20,Rossmann,chemist,"{'shop': 'chemist', 'operator': 'Rossmann Magyarország Kft.', 'brand':'Rossmann', 'facebook':'https://www.facebook.com/Rossmann.hu', 'youtube': 'https://www.youtube.com/channel/UCmUCPmvMLL3IaXRBtx7-J7Q', 'instagram':'https://www.instagram.com/rossmann_hu/', 'payment:cash': 'yes', 'payment:debit_cards': 'yes'}",https://www.rossmann.hu,hurossmche,,,,,,,
